scenario_name,reorder_z,cycle_stock_days,total_expected_inventory_value,total_expected_lost_sales_annual,baseline_inventory_value,baseline_lost_sales,weighted_service_level,inventory_delta_vs_baseline,lost_sales_delta_vs_baseline,pareto_frontier_flag
Lean Cash,0.8,7.0,5588728.033084321,48226795.69973867,3907394.80025,6770616.1,0.7881446014166033,1681333.232834321,41456179.599738665,1
Balanced Baseline,1.2,10.0,6862794.447738259,26194477.526302423,3907394.80025,6770616.1,0.8849303297782916,2955399.6474882592,19423861.426302426,1
Service Protect,1.7,14.0,8540111.572197895,10144888.834987689,3907394.80025,6770616.1,0.955434537241457,4632716.771947896,3374272.734987689,1
Peak Guard,2.1,18.0,10153114.411420688,4066659.459886354,3907394.80025,6770616.1,0.9821355794371834,6245719.611170689,-2703956.6401136457,1
