budget_uplift,total_base_inventory,total_selected_inventory,inventory_uplift_value,total_base_lost_sales,total_selected_lost_sales,lost_sales_improvement,weighted_base_service,weighted_selected_service,service_uplift,lanes_changed
0.0,6862794.447738258,6862794.447738258,0.0,26194477.52630242,26194477.52630242,0.0,0.8849303297782917,0.8849303297782917,0.0,0
0.03,6862794.447738258,7067922.6737427,205128.2260044422,26194477.52630242,24159219.376789525,2035258.1495128945,0.8849303297782917,0.8949674207099704,0.010037090931678705,209
0.06,6862794.447738258,7274239.245848915,411444.79811065644,26194477.52630242,22015660.05337221,4178817.472930208,0.8849303297782917,0.9041562957145785,0.019225965936286782,285
0.1,6862794.447738258,7549002.2594525255,686207.8117142674,26194477.52630242,19248606.00753154,6945871.518770881,0.8849303297782917,0.9159438563279205,0.031013526549628856,364
0.15,6862794.447738258,7892128.671097463,1029334.2233592048,26194477.52630242,15812908.06557243,10381569.46072999,0.8849303297782917,0.9302703570390674,0.045340027260775684,408
